action,annotation_count,annotation_set_id,ayah_id,error_count,mode,protected_active_set_id,published,safe_to_persist,verse_key,warning_count
published_beta_candidate,19,257,128,0,ayah,,True,True,2:122,1
published_beta_candidate,19,258,128,0,wasl,,True,True,2:122,1
published_beta_candidate,27,259,129,0,ayah,,True,True,2:123,0
published_beta_candidate,27,260,129,0,wasl,,True,True,2:123,0
published_beta_candidate,31,261,130,0,ayah,,True,True,2:124,1
published_beta_candidate,31,262,130,0,wasl,,True,True,2:124,1
published_beta_candidate,44,263,131,0,ayah,,True,True,2:125,3
published_beta_candidate,43,264,131,0,wasl,,True,True,2:125,3
published_beta_candidate,43,265,132,0,ayah,,True,True,2:126,4
published_beta_candidate,43,266,132,0,wasl,,True,True,2:126,4
published_beta_candidate,20,267,133,0,ayah,,True,True,2:127,1
published_beta_candidate,20,268,133,0,wasl,,True,True,2:127,1
published_beta_candidate,26,269,134,0,ayah,,True,True,2:128,0
published_beta_candidate,26,270,134,0,wasl,,True,True,2:128,0
published_beta_candidate,28,271,135,0,ayah,,True,True,2:129,0
published_beta_candidate,28,272,135,0,wasl,,True,True,2:129,0
published_beta_candidate,23,273,136,0,ayah,,True,True,2:130,2
published_beta_candidate,23,274,136,0,wasl,,True,True,2:130,2
published_beta_candidate,9,275,137,0,ayah,,True,True,2:131,1
published_beta_candidate,9,276,137,0,wasl,,True,True,2:131,1
published_beta_candidate,23,277,138,0,ayah,,True,True,2:132,2
published_beta_candidate,23,278,138,0,wasl,,True,True,2:132,2
published_beta_candidate,35,279,139,0,ayah,,True,True,2:133,4
published_beta_candidate,35,280,139,0,wasl,,True,True,2:133,4
published_beta_candidate,17,281,140,0,ayah,,True,True,2:134,0
published_beta_candidate,17,282,140,0,wasl,,True,True,2:134,0
published_beta_candidate,17,283,141,0,ayah,,True,True,2:135,2
published_beta_candidate,17,284,141,0,wasl,,True,True,2:135,2
published_beta_candidate,47,285,142,0,ayah,,True,True,2:136,3
published_beta_candidate,47,286,142,0,wasl,,True,True,2:136,3
published_beta_candidate,23,287,143,0,ayah,,True,True,2:137,0
published_beta_candidate,23,288,143,0,wasl,,True,True,2:137,0
published_beta_candidate,9,289,144,0,ayah,,True,True,2:138,0
published_beta_candidate,9,290,144,0,wasl,,True,True,2:138,0
published_beta_candidate,17,291,145,0,ayah,,True,True,2:139,0
published_beta_candidate,17,292,145,0,wasl,,True,True,2:139,0
published_beta_candidate,40,293,146,0,ayah,,True,True,2:140,2
published_beta_candidate,40,294,146,0,wasl,,True,True,2:140,2
published_beta_candidate,17,295,147,0,ayah,,True,True,2:141,0
published_beta_candidate,17,296,147,0,wasl,,True,True,2:141,0
published_beta_candidate,34,297,148,0,ayah,,True,True,2:142,2
published_beta_candidate,34,298,148,0,wasl,,True,True,2:142,2
published_beta_candidate,66,299,149,0,ayah,,True,True,2:143,5
published_beta_candidate,66,300,149,0,wasl,,True,True,2:143,5
published_beta_candidate,49,301,150,0,ayah,,True,True,2:144,2
published_beta_candidate,49,302,150,0,wasl,,True,True,2:144,2
published_beta_candidate,36,303,151,0,ayah,,True,True,2:145,1
published_beta_candidate,36,304,151,0,wasl,,True,True,2:145,1
published_beta_candidate,26,305,152,0,ayah,,True,True,2:146,1
published_beta_candidate,26,306,152,0,wasl,,True,True,2:146,1
published_beta_candidate,10,307,153,0,ayah,,True,True,2:147,0
published_beta_candidate,10,308,153,0,wasl,,True,True,2:147,0
published_beta_candidate,22,309,154,0,ayah,,True,True,2:148,1
published_beta_candidate,22,310,154,0,wasl,,True,True,2:148,1
published_beta_candidate,22,311,155,0,ayah,,True,True,2:149,0
published_beta_candidate,22,312,155,0,wasl,,True,True,2:149,0
published_beta_candidate,40,313,156,0,ayah,,True,True,2:150,2
published_beta_candidate,40,314,156,0,wasl,,True,True,2:150,2
published_beta_candidate,29,315,157,0,ayah,,True,True,2:151,0
published_beta_candidate,29,316,157,0,wasl,,True,True,2:151,0
published_beta_candidate,13,317,158,0,ayah,,True,True,2:152,0
