ayah_id,surah_number,ayah_number,ayah_key,issue_type,severity,rule_code,word_index,word,reason,detail,raw_issue
19,2,13,2:13,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,7,قَالُوْٓا,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""قَالُوْٓا"", ""word_index"": 7}"
19,2,13,2:13,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,9,كَمَآ,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""كَمَآ"", ""word_index"": 9}"
19,2,13,2:13,unlocatable_rule,error,mad_lazim_mukhaffaf,13,اِنَّهُمْ,,,"{""rule_code"": ""mad_lazim_mukhaffaf"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""اِنَّهُمْ"", ""word_index"": 13}"
19,2,13,2:13,unlocatable_rule,error,izhar_syafawi,14,هُمُ,,,"{""rule_code"": ""izhar_syafawi"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""هُمُ"", ""word_index"": 14}"
19,2,13,2:13,unlocatable_rule,error,ghunnah,14,هُمُ,,,"{""rule_code"": ""ghunnah"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""هُمُ"", ""word_index"": 14}"
19,2,13,2:13,unlocatable_rule,error,alif_lam_syamsiah,16,وَلٰكِنْ,,,"{""rule_code"": ""alif_lam_syamsiah"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""وَلٰكِنْ"", ""word_index"": 16}"
19,2,13,2:13,unlocatable_rule,error,mad_silah_qasirah,16,وَلٰكِنْ,,,"{""rule_code"": ""mad_silah_qasirah"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""وَلٰكِنْ"", ""word_index"": 16}"
19,2,13,2:13,unlocatable_rule,error,idgham_bilaghunnah,17,لَّا,,,"{""rule_code"": ""idgham_bilaghunnah"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""لَّا"", ""word_index"": 17}"
19,2,13,2:13,invalid_word_index,error,,19,يَعْلَمُوْنَ,,,"{""severity"": ""error"", ""type"": ""invalid_word_index"", ""word"": ""يَعْلَمُوْنَ"", ""word_index"": 19}"
20,2,14,2:14,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,1,لَقُوا,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""لَقُوا"", ""word_index"": 1}"
