ayah_id,surah_number,ayah_number,ayah_key,safe_to_persist,annotation_count,issue_count,low_confidence_count,emitted_rule_codes,exception
37,2,31,2:31,True,16,0,0,alif_lam_qamariah|ghunnah|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_ra,
38,2,32,2:32,False,11,1,0,alif_lam_qamariah|idgham_mutamatsilain|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra,TajwidAnnotationError: Render segment index 14 dimulai dengan combining mark.
39,2,33,2:33,False,16,15,1,alif_lam_syamsiah|idgham_mutajanisain|idgham_mutamatsilain|ikhfa_haqiqi|ikhfa_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah,
40,2,34,2:34,False,14,3,0,alif_lam_qamariah|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra|tafkhim_ra|tarqiq_ra,
41,2,35,2:35,False,21,3,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|ikhfa_haqiqi|izhar_halqi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra,
42,2,36,2:36,False,13,1,0,alif_lam_syamsiah|ghunnah|izhar_halqi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_ra,TajwidAnnotationError: Render segment index 21 dimulai dengan combining mark.
43,2,37,2:37,False,8,5,0,alif_lam_syamsiah|idgham_bilaghunnah|idgham_mutamatsilain|ikhfa_haqiqi|mad_asli,
44,2,38,2:38,False,12,16,0,ghunnah|ikhfa_haqiqi|izhar_halqi|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal,
45,2,39,2:39,False,13,1,0,alif_lam_syamsiah|ghunnah|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|tafkhim_ra|tarqiq_ra,TajwidAnnotationError: Render segment index 15 dimulai dengan combining mark.
46,2,40,2:40,True,17,2,0,alif_lam_syamsiah|izhar_halqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|tafkhim_ra,
47,2,41,2:41,False,15,7,0,idgham_bilaghunnah|ikhfa_haqiqi|iqlab|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|tarqiq_ra,
48,2,42,2:42,True,12,2,0,alif_lam_qamariah|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf,
