ayah_id,surah_number,ayah_number,only_ayah_stop,only_wasl
70,2,64,mad_arid_lissukun@62:64,mad_tabii@62:64
71,2,65,mad_arid_lissukun@62:64,mad_tabii@62:64
72,2,66,mad_arid_lissukun@50:52,mad_tabii@50:52
73,2,67,mad_arid_lissukun@102:104,mad_tabii@102:104
74,2,68,mad_arid_lissukun@103:105,mad_tabii@103:105
75,2,69,mad_arid_lissukun@86:88,mad_tabii@86:88
76,2,70,mad_arid_lissukun@74:76,mad_tabii@74:76
77,2,71,mad_arid_lissukun@118:120,mad_tabii@118:120
78,2,72,mad_arid_lissukun@52:54,mad_tabii@52:54
79,2,73,mad_arid_lissukun@62:64,mad_tabii@62:64
80,2,74,mad_arid_lissukun@179:181,mad_tabii@179:181
81,2,75,mad_arid_lissukun@94:96,mad_tabii@94:96
82,2,76,mad_arid_lissukun@122:124,mad_tabii@122:124
83,2,77,mad_arid_lissukun@41:43,mad_tabii@41:43
84,2,78,mad_arid_lissukun@52:54,mad_tabii@52:54
85,2,79,mad_arid_lissukun@122:124,mad_tabii@122:124
86,2,80,mad_arid_lissukun@112:114,mad_tabii@112:114
87,2,81,mad_arid_lissukun@63:65,mad_tabii@63:65
88,2,82,mad_arid_lissukun@56:58,mad_tabii@56:58
89,2,83,mad_arid_lissukun@173:175,mad_tabii@173:175
90,2,84,mad_arid_lissukun@84:86,mad_tabii@84:86
91,2,85,mad_arid_lissukun@274:276,mad_tabii@274:276
92,2,86,mad_arid_lissukun@75:77,mad_tabii@75:77
93,2,87,mad_arid_lissukun@163:165,mad_tabii@163:165
94,2,88,mad_arid_lissukun@54:56,mad_tabii@54:56
95,2,89,mad_arid_lissukun@130:132,mad_tabii@130:132
96,2,90,mad_arid_lissukun@131:133,mad_tabii@131:133
97,2,91,mad_arid_lissukun@147:149,mad_tabii@147:149
98,2,92,mad_arid_lissukun@58:60,mad_tabii@58:60
99,2,93,mad_arid_lissukun@157:159,mad_tabii@157:159
100,2,94,mad_arid_lissukun@80:82,mad_tabii@80:82
101,2,95,mad_arid_lissukun@52:54,mad_tabii@52:54
102,2,96,mad_arid_lissukun@125:127,mad_tabii@125:127
103,2,97,mad_arid_lissukun@87:89,mad_tabii@87:89
104,2,98,mad_arid_lissukun@61:63,mad_tabii@61:63
105,2,99,mad_arid_lissukun@47:49,mad_tabii@47:49
106,2,100,mad_arid_lissukun@51:53,mad_tabii@51:53
107,2,101,mad_arid_lissukun@106:108,mad_tabii@106:108
108,2,102,mad_arid_lissukun@389:391,mad_tabii@389:391
109,2,103,mad_arid_lissukun@59:61,mad_tabii@59:61
110,2,104,mad_arid_lissukun@71:73,mad_tabii@71:73
111,2,105,mad_arid_lissukun@122:124,mad_tabii@122:124
112,2,106,mad_arid_lissukun@80:82|ra_tarqiq@82:83,mad_tabii@80:82|ra_tafkhim@82:83
113,2,107,mad_arid_lissukun@72:74,mad_tabii@72:74
114,2,108,mad_arid_lissukun@88:90,mad_tabii@88:90
115,2,109,mad_arid_lissukun@155:157|ra_tarqiq@157:158,mad_tabii@155:157|ra_tafkhim@157:158
116,2,110,mad_arid_lissukun@94:96|ra_tarqiq@96:97,mad_tabii@94:96|ra_tafkhim@96:97
117,2,111,mad_arid_lissukun@88:90,mad_tabii@88:90
118,2,112,mad_arid_lissukun@71:73,mad_tabii@71:73
119,2,113,mad_arid_lissukun@166:168,mad_tabii@166:168
120,2,114,mad_arid_lissukun@140:142,mad_tabii@140:142
121,2,115,mad_arid_lissukun@62:64,mad_tabii@62:64
122,2,116,mad_arid_lissukun@66:68,mad_tabii@66:68
123,2,117,mad_arid_lissukun@52:54,mad_tabii@52:54
124,2,118,mad_arid_lissukun@128:130,mad_tabii@128:130
125,2,119,mad_arid_lissukun@50:52,mad_tabii@50:52
126,2,120,mad_arid_lissukun@144:146,mad_tabii@144:146
127,2,121,mad_arid_lissukun@80:82,mad_tabii@80:82
128,2,122,mad_arid_lissukun@63:65,mad_tabii@63:65
129,2,123,mad_arid_lissukun@81:83,mad_tabii@81:83
130,2,124,mad_arid_lissukun@102:104,mad_tabii@102:104
131,2,125,mad_arid_lissukun@127:129|qalqalah_kubra@129:130,mad_tabii@127:129
132,2,126,mad_arid_lissukun@147:149|ra_tarqiq@149:150,mad_tabii@147:149|ra_tafkhim@149:150
